0,9.626,0,11.006,173.951,14.957,15,5,10,0,0,11.264,8.476,-3.942,13.649,-63.511,0.763,16.377,0.364,-9.508,37.756,-58.672,-14.397,7.372,12.678,-9.867,162.687,184.916,75.115,16.78,-2.74,-8.339,7.634,-153.267,8.565,0,0
0,9.934,0,12.745,173.916,30.773,15,5,10,1,0,9.535,9.283,-13.472,-54.137,-67.603,2.977,15.022,-1.368,-9.178,71.802,-41.756,-8.397,8.15,5.846,-9.587,17.344,124.58,-161.954,19.905,-1.169,-5.224,9.267,-155.634,8.977,1,0
0,10.564,0,14.481,173.584,63.011,5,5,10,1,0,9.293,-3.157,-16.135,-75.45,-93.924,7.115,14.099,2.91,-4.409,85.771,-22.153,-2.519,8.409,5.971,-8.057,15.45,76.244,30.565,16.353,-4.34,-7.803,21.359,-159.618,1.725,0,0
0.23,11.579,0,16.331,184.948,101.486,5,5,10,1,0,6.562,-11.376,-22.403,-48.275,-124.29,15.771,13.015,2.06,-0.484,59.74,-1.618,-0.473,8.852,3.875,-0.077,6.229,479.878,166.107,18.214,-0.941,-3.712,28.855,-173.557,-1.42,0,0
0.647,14.482,0,20.733,236.973,150.833,5,5,10,1,0,5.815,-9.029,-14.277,90.687,-136.595,20.656,6.464,-4.965,-7.92,-3.16,-7.42,32.687,9.06,2.723,-2.579,1.71,228.092,75.45,15.901,1.102,-5.43,18.809,-187.405,-13.206,0,0
0.647,14.482,0,20.733,236.973,150.833,5,5,10,1,0,5.815,-9.029,-14.277,90.687,-136.595,20.656,6.464,-4.965,-7.92,-3.16,-7.42,32.687,9.06,2.723,-2.579,1.71,228.092,75.45,15.901,1.102,-5.43,18.809,-187.405,-13.206,0,0
0.835,15.908,0,23.388,265.492,142.536,5,15,10,1,0,5.068,-1.097,-16.015,96.687,-129.16,14.489,6.399,-4.419,-11.216,-4.84,-29.405,44.015,7.563,4.392,2.529,54.962,266.275,21.496,18.751,4.807,-2.606,1.221,-191.817,-23.023,0,0
1.008,17.182,0,26.321,293.313,127.407,5,15,10,1,0,4.771,1.506,-16.047,69.328,-119.237,9.099,7.535,-1.487,-12.064,-4,-61.786,39.481,8.26,4.859,-5.348,31.756,328.427,125.069,13.407,1.032,-8.268,2.565,-195.145,-24.137,0,0
1.168,18.255,0,29.588,326.672,107.323,5,15,10,1,0,9.621,-1.902,-11.879,38.198,-101.069,8.183,7.633,0.23,-13.973,-6.29,-85.221,31.206,7.295,9.223,-9.324,45.313,372.031,7.511,12.018,2.043,-13.312,22.702,-209.16,-17.206,0,0
1.314,18.943,0,33.33,374.268,68.779,5,15,10,1,0,12.449,-3.48,-11.403,-15.817,-88.229,14.504,9.544,-2.005,-12.713,-3.847,-96.992,17.908,9.719,15.495,-24.822,176.733,-189.023,-33.282,12.171,0.527,-18.971,24.718,-229.695,-7.802,0,0
1.445,18.943,0,37.615,428.479,0,5,15,10,1,0,9.863,-0.74,-17.948,-35.588,-59.847,23.191,8.651,-1.739,-11.142,-8.718,-110.595,0.519,3.645,11.83,-46.866,256.504,-456.809,-476.824,10.9,5.228,-17.364,6.351,-245.756,-1.756,0,0
1.563,18.445,0,42.394,477.872,-49.736,5,15,10,1,0,9.295,-4.349,-17.601,-56.595,-54.229,21.954,7.319,-0.984,-11.515,-15.634,-119.115,-14.992,8.912,6.867,-15.96,15.908,479.252,-107.206,13.036,6.342,-17.663,-15.664,-242.611,-2.427,0,0
1.667,17.485,0,47.349,495.496,-96.005,5,15,10,1,0,18.161,-6.582,-12.576,-38.901,-20.611,20.656,6.95,-3.602,-13.824,-24.901,-129.847,-23.969,7.214,6.577,-19.699,10.809,-50.718,-102.351,22.015,3.621,-17.893,-36.229,-215.969,-13.756,0,0
1.756,16.182,0,52.201,485.253,-130.303,5,15,10,1,0,4.893,0.244,-17.771,-43.496,-26.473,19.237,8.682,-1.523,-10.974,-15.13,-131.985,-37.618,5.829,6.144,-35.389,-30.885,-155.618,82.321,21.644,6.354,-10.315,-83.878,-175.695,-17.466,0,0
1.832,14.845,0,56.563,436.192,-133.69,5,15,10,1,0,8.002,-2.079,-12.078,-49.817,-27.191,14.611,9.211,-0.307,-8.895,-16.321,-124.901,-43.45,13.307,8.342,-12.689,16.275,242.061,-50.687,25.854,1.514,-0.807,-64.595,-101.649,-12.366,0,0
1.893,13.618,0,59.782,321.9,-122.727,5,15,10,1,0,4.754,-2.548,-12.524,-47.481,-35.588,20.336,11.419,-1.047,-9.039,-15.985,-117.573,-44.183,9.947,5.513,-16.444,10.595,213.023,-43.298,15.752,-2.041,-3.873,-29.389,-31.176,-11.344,0,0
1.941,12.67,0,62.056,227.395,-94.814,5,15,10,1,0,6.026,-3.461,-14.102,-37.069,-45.176,19.802,13.41,-2.752,-5.815,-10.702,-104.992,-39.237,5.497,5.477,-16.061,-3.053,367.16,-88.366,6.914,-3.458,-9.08,22.29,11.023,-24.046,0,0
1.975,11.948,0,63.697,164.051,-72.144,5,15,10,1,0,8.648,-4.728,-13.242,-19.16,-47.069,15.985,12.789,-1.317,-6.804,-16.382,-95.863,-26.718,3.806,2.467,-15.788,-8.519,314.305,-129.16,6.699,-4.249,-10.816,60.519,38.901,-26.58,0,0
1.994,11.527,0,65.052,135.51,-42.114,5,15,10,1,0,2.74,-2.601,-15.422,-21.603,-51.359,17.74,13.963,-1.571,-5.94,-24.168,-86.229,-21.649,4.086,4.282,-13.707,-5.13,325.145,-54.626,8.414,0.798,-9.319,67.466,69.008,-18.977,0,0
2,11.282,0,66.055,100.353,-24.536,5,15,10,1,0,4.333,-4.28,-13.539,10.443,-53.74,12.656,12.907,-2.373,-5.777,-28.855,-78.626,-12.504,3.456,3.935,-13.412,-0.244,313.084,-115.359,8.775,3.839,-8.95,46.824,101.695,-13.466,0,0
1.992,11.059,0,66.678,62.267,-22.327,5,15,10,1,0,7.736,-3.044,-13.07,14.26,-43.542,13.939,11.132,-2.924,-7.832,-29.71,-80.427,-6.687,1.672,4.39,-12.737,7.267,325.481,-111.084,6.644,0.908,-12.648,21.496,134.015,-9.908,0,0
1.969,10.799,0,66.963,28.53,-26.001,5,15,10,1,0,5.882,-1.085,-13.795,2.443,-43.221,13.557,10.984,-2.127,-7.501,-27.695,-81.817,-5.603,1.71,5.093,-13.685,58.626,-365.817,-231.45,1.923,3.24,-13.335,10.565,147.679,-1.649,0,0
1.933,10.589,0,66.974,1.064,-20.92,5,15,10,1,0,5.928,-2.041,-14.243,-15.557,-48.504,11.237,10.679,-1.339,-7.494,-33.893,-79.74,-4.87,1.097,3.091,-17.939,69.374,385.45,8.305,2.855,-1.727,-16.324,-3.435,170.198,3.939,0,0
1.882,10.37,0,66.85,-12.394,-21.95,5,15,10,1,0,8.864,-4.098,-12.289,-9.908,-38.534,13.847,9.388,-1.918,-9.628,-41.786,-83.237,-5.221,0.759,5.693,-15.17,14.534,294.153,-173.313,9.427,6.967,-9.477,-30.931,190.748,6.947,0,0
1.818,10.088,0,66.326,-52.403,-28.233,5,15,10,1,0,4.895,-0.455,-16.54,-25.466,-44.229,13.191,11.312,-1.581,-7.547,-42.565,-79.328,-10.962,1.691,4.667,-19.16,71.817,101.359,320.977,7.353,0.232,-14.219,-41.405,217.603,4.015,0,0
1.739,9.824,0,65.447,-87.845,-26.333,5,15,10,1,0,7.377,-2.747,-15.187,-26.855,-41.405,12.214,10.545,-1.602,-7.983,-52.214,-76.366,-14.58,2.62,6.371,-14.076,5.313,115.786,-42.947,7.496,-1.935,-13.494,-28.565,228.26,7.374,0,0
1.647,9.498,0,64.305,-114.281,-32.627,5,15,10,1,0,5.6,-4.728,-13.81,-18.809,-41.45,11.16,8.72,-1.324,-9.386,-60.748,-76.229,-15.45,1.459,5.389,-15.096,-10.107,100.687,-44.916,8.387,-2.187,-15.572,-21.985,244.809,6.931,0,0
1.541,9.14,0,62.92,-138.428,-35.843,5,15,10,1,0,6.407,-0.865,-15.814,-25.924,-38.779,11.221,10.155,-1.954,-9.099,-62.916,-77.267,-23.008,1.53,5.456,-15.01,-11.969,99.863,-44.168,8.387,0.338,-13.34,-12.565,260.885,10.443,0,0
1.42,8.766,0,61.309,-161.167,-37.376,5,15,10,1,0,4.632,-5.279,-13.206,-16.626,-42.214,9.023,8.498,-2.1,-9.592,-64.962,-76.473,-23.344,2.029,5.806,-15.443,-28.107,65.756,-100.947,7.848,0.017,-14.217,-2.29,271.725,13.038,0,0
1.286,8.348,0,59.492,-181.652,-41.76,5,15,10,1,0,5.432,-0.57,-16.138,-24.168,-39.023,11.267,10.574,-4.328,-8.495,-57.069,-78.336,-28.687,0.838,0.186,-32.591,-259.542,-404.534,-335.145,5.566,-2.749,-16.118,8.183,276.092,14.748,0,0
